//X Y Z R G B
-22.36985588 9.55685711 -2.51339793 170 0 0
-22.44168282 9.76662064 -2.45928597 170 0 0
-22.42295074 9.61682034 -2.46998906 170 0 0
-22.29409790 9.84926891 -2.47631907 170 0 0
-22.29708099 9.77411842 -2.47772503 170 0 0
-22.36396408 9.86823845 -2.47018409 170 0 0
-22.16767120 9.75256348 -2.50395107 170 0 0
-22.38490486 9.88956070 -2.46818805 170 0 0
-22.41420555 9.78254318 -2.46235991 170 0 0
-22.35488129 9.78538132 -2.47061110 170 0 0
-22.39349365 9.66558838 -2.46734500 170 0 0
-22.22922516 9.68065262 -2.50678301 170 0 0
-22.26403618 9.86985683 -2.47800708 170 0 0
-22.43631554 9.70923805 -2.45566511 170 0 0
-22.31757927 9.66978168 -2.49012399 170 0 0
-22.38043213 9.75917244 -2.46474290 170 0 0
-22.24055481 9.73537159 -2.49295902 170 0 0
-22.22011566 9.73890209 -2.49809289 170 0 0
-22.41931343 9.59000874 -2.48455000 170 0 0
-22.38494682 9.76115704 -2.46345711 170 0 0
-22.32849884 9.65008831 -2.49224806 170 0 0
-22.36975288 9.78851509 -2.47008109 170 0 0
-22.10552979 9.70079231 -2.51152802 170 0 0
-22.42098427 9.62821960 -2.46641707 170 0 0
-22.09574509 9.69646645 -2.51574612 170 0 0
-22.24180984 9.74847603 -2.48987198 170 0 0
-22.37189674 9.60690403 -2.49414492 170 0 0
-22.33605194 9.72747040 -2.47467995 170 0 0
-22.25387192 9.70414257 -2.49975300 170 0 0
-22.29907608 9.60008240 -2.51422310 170 0 0
-22.39141083 9.72695446 -2.46280408 170 0 0
-22.32649422 9.58724117 -2.51388502 170 0 0
-22.28177834 9.77822304 -2.47826695 170 0 0
-22.21867371 9.75038338 -2.49411297 170 0 0
-22.37113762 9.55690575 -2.51393008 170 0 0
-22.34495926 9.74363899 -2.47125793 170 0 0
-22.24703407 9.72608376 -2.49343491 170 0 0
-22.18970871 9.73784256 -2.50509095 170 0 0
-22.33309746 9.67657185 -2.48132491 170 0 0
