//X Y Z R G B
-23.00241089 9.43651104 -2.36271691 170 0 0
-23.10178757 9.60647488 -2.23664689 170 0 0
-23.03263664 9.53698444 -2.35299611 170 0 0
-22.98313141 9.59191418 -2.34766793 170 0 0
-23.03130913 9.47341156 -2.33415198 170 0 0
-23.02583694 9.42106438 -2.35771799 170 0 0
-23.01588440 9.59494209 -2.38115811 170 0 0
-23.00885582 9.47787476 -2.34981704 170 0 0
-23.05413055 9.50820541 -2.28360105 170 0 0
-23.10596466 9.73198414 -2.37553811 170 0 0
-23.14215660 9.68591690 -2.37244105 170 0 0
-23.02237320 9.44980621 -2.28771496 170 0 0
-23.10690689 9.42962456 -2.29489398 170 0 0
-23.05153465 9.57027912 -2.33466506 170 0 0
-23.02218437 9.61187077 -2.35545993 170 0 0
-23.04739380 9.54338837 -2.31113005 170 0 0
-23.17360306 9.70946789 -2.31974697 170 0 0
-23.12458229 9.56299210 -2.24628806 170 0 0
-23.16650200 9.54718494 -2.25031900 170 0 0
-23.01708603 9.44318867 -2.26685309 170 0 0
-23.08825493 9.51472759 -2.28600407 170 0 0
-22.95735168 9.58129501 -2.32564092 170 0 0
-23.11402893 9.62080288 -2.29364610 170 0 0
-23.04125786 9.67938328 -2.37519693 170 0 0
-23.01626968 9.54269695 -2.33306003 170 0 0
-23.02596283 9.48399830 -2.32485199 170 0 0
-22.99656868 9.53470612 -2.30707693 170 0 0
-23.08251953 9.39502239 -2.29257393 170 0 0
-23.10435295 9.52905273 -2.26826310 170 0 0
-23.29897499 9.62061214 -2.31048894 170 0 0
-23.04302025 9.66028786 -2.29930496 170 0 0
-22.98880005 9.59037781 -2.36581492 170 0 0
-23.06005859 9.57028008 -2.30277801 170 0 0
-22.98956871 9.58990097 -2.37057900 170 0 0
-23.02350044 9.51002407 -2.26931691 170 0 0
-23.11788940 9.38368034 -2.33203697 170 0 0
-23.06575966 9.42105389 -2.30280805 170 0 0
-23.07535934 9.37780476 -2.28857303 170 0 0
-23.15354729 9.57484627 -2.26614404 170 0 0
-23.07209587 9.37974358 -2.29219198 170 0 0
-23.09721565 9.47593594 -2.24104404 170 0 0
-22.98781776 9.53100777 -2.31571102 170 0 0
-23.15435982 9.48627758 -2.25077701 170 0 0
-23.12796974 9.40044212 -2.32258010 170 0 0
-22.99439049 9.45838165 -2.37128210 170 0 0
-23.03482437 9.46311188 -2.28550196 170 0 0
-23.22300148 9.70193768 -2.36360788 170 0 0
-23.00729179 9.42553806 -2.36309910 170 0 0
-23.07410431 9.62283039 -2.31148911 170 0 0
-23.11429214 9.38227272 -2.32372308 170 0 0
-23.03666878 9.46203899 -2.28869510 170 0 0
-23.15969849 9.67652416 -2.31115603 170 0 0
-23.40896416 9.72413540 -2.37058592 170 0 0
-23.09877586 9.61500168 -2.29102302 170 0 0
-23.04052353 9.41466236 -2.37388802 170 0 0
-23.14204216 9.53209019 -2.23344707 170 0 0
-23.03022385 9.54828739 -2.36210203 170 0 0
